,words,clues
1534,EASE,"""He'd fly through the air with the greatest of ___"" (old song lyric)"
1535,STER,Suffix with prank or poll
1536,LEST,"""___ we forget ..."""
1537,SSTS,"Concordes, for short"
1538,STAR,Sky light
1539,EIRE,Blarney Stone land
1540,ELEA,Zeno's home
1541,STALEAIR,Result of poor ventilation
1542,ERASER,"Pink Pearl, for one"
1543,TESTS,Things graded by 7-Down
1544,TAS,See 6-Down
1545,ERA,"1970s political cause, for short"
1546,LARIAT,It may be thrown from a horse
1547,ARAL,___ Sea (former fourth-largest lake in the world)
1548,SITE,"Babylon, for the ancient Hanging Gardens"
1549,SASS,Lip
1550,SISSIES,Fraidy-cats
1551,ITIS,"""That so?"""
1552,TESS,Thomas Hardy heroine
1553,ALTER,Take up or let out
1554,ASST,Admin. aide
1555,LATER,"""See ya"""
1556,TRITE,"Like the invitation line ""Be there or be square"""
1557,AILES,Roger formerly of Fox News
1558,ELITE,CrÃ¨me de la crÃ¨me
1559,RATES,Deserves V.I.P. treatment
1560,REELS,Predigital film units
1561,TART,Piquant
1562,STILLER,"Ben of ""Tower Heist"""
1563,RARITIES,They come along once in a blue moon
1564,SALE,Store window sign
1565,ETAL,List-ending abbr.
1566,TEASER,Come-on
1567,ASASET,How tableware is often sold
1568,ESTES,"___ Park, Colo."
1569,IRES,Seriously vexes
1570,SILT,Delta deposit
1571,RILE,Vex
1572,IRAS,Nest eggs for the golden yrs.
1573,EAST,Big ___ Conference
1574,REES,"Roger who played a part on ""Cheers"""
1575,TEL,Certain util. bill
1576,ALE,Stein filler
1577,SLAW,BBQ platter side
1578,JANUS,Two-faced god
1579,AQUA,Shade of blue
1580,TECH,Low-___
1581,ABOVE,"""___ the Law"" (Steven Seagal picture)"
1582,RUNS,Worries for Great Depression banks
1583,EREI,"""Fly ___ spurn thee ..."" : Shelley"
1584,KERRI,Olympic gymnast Strug
1585,MATT,"___ Dillon, lead role on ""Gunsmoke"""
1586,MONSTERMASH,"Classic song with the lyric ""Whatever happened to my Transylvania twist?"""
1587,KOI,Gold in a pond?
1588,SITKA,Early capital of Alaska
1589,DAYMARE,Troubling reverie
1590,EDGER,Landscaping tool
1591,SURFS,"Flips through, as TV channels"
1592,PLAYAREA,What the keys are to a pianist?
1593,MANGIA,Trattoria order?
1594,RONS,Hamilton biographer Chernow and others
1595,ENE,Suffix with acetyl
1596,ANNULS,Negates
1597,EKEOUT,Just make
1598,LIENEE,Holder of encumbered property
1599,VICUNA,Andean animal with expensive wool
1600,APR,Mo. of Thomas Jefferson's birthday
1601,DRAGSHOW,"""La Cage aux Folles"" enterprise"
1602,SHIA,One side of a longstanding feud
1603,NEO,Prefix with classical
1604,SAWEDINHALF,"Like some magicians' assistants, apparently"
1605,OATS,Feedbag bits
1606,RENO,Eight-year Clinton cabinet member
1607,CILIA,Eyelashes
1608,TSAR,1917 dethronee
1609,BARR,Mystery writer Nevada ___
1610,AGLET,Shoelace tip
1611,EELS,Slippery swimmers
1612,OTIS,Soulful Redding
1613,RHODE,___ Island Red (fowl type)
1614,STEMS,Comes (from)
1615,LEROI,"One who was wished a long life, in old French cheers"
1616,ACENT,"F. Scott Fitzgerald's ""Two for ___"""
1617,WHISKEYSOUR,Drink often garnished with a cherry
1618,JAKE,Hunky-dory
1619,ABERDEEN,Scottish city that lent its name to a cattle breed
1620,NORMARAE,"Best Picture loser to ""Kramer vs. Kramer"""
1621,UVRAY,"Tanning element, informally"
1622,SEISM,It's measured by the Richter scale
1623,ARM,What a radius is part of
1624,QUAKERGUN,Log painted deceptively to look like a cannon
1625,UNTO,"""Do ___ others ..."""
1626,ASTI,Italian wine town
1627,TADA,Cry before curtsying or taking a bow
1628,HASANIP,Tipples circumspectly
1629,RUNNERSHIGH,Exercise-induced euphoria
1630,GRETAGARBO,Famously reclusive Hollywood legend
1631,FILE,"""___ and Forget"" (classic humor piece by James Thurber)"
1632,SASE,"Autograph collector's enclosure, for short"
1633,PREV,Earlier: Abbr.
1634,LOKI,Shape-shifter of Norse mythology
1635,ANECDOTAL,"Not statistically based, as evidence"
1636,MALAWI,"Nyasaland, today"
1637,UNAS,"Some, in Seville"
1638,SWEAT,"Worry about, informally"
1639,HENRI,Artist ___ de Toulouse-Lautrec
1640,ODORS,They could be represented by a cartoonist's wavy lines
1641,HALLO,Salutation among Winnie-the-Pooh and friends
1642,ILIED,"Words before ""so sue me"""
1643,AFATE,___ worse than death
1644,NOTE,Word that can follow the ends of 20- and 54-Across and 4- and 26-Down
1645,EASE,What pros handle things with
1646,NCAR,Nascar Hall of Fame locale: Abbr.
1647,SRS,Some SAT takers: Abbr.
1648,DECO,Like the 30 Rock building
1649,DUMB,Word said three times while smacking the forehead
1650,JAPES,Jests
1651,IMPS,"Tyrion Lannister of ""Game of Thrones"" and others"
1652,ODOR,It may be whiffed
1653,ABIE,Rose's love on old Broadway
1654,GOCART,Little racer
1655,BORN,"Lady Gaga's ""___ This Way"""
1656,DAUGHTERLAUGHTER,"""I know my girl enjoys her youth / When this fine sound escapes her mouth"""
1657,IDOL,"Golden calf, e.g."
1658,OMG,"Texter's ""Wow!"""
1659,OAR,Galley propeller
1660,GUISE,Pretext
1661,CEASES,Ends
1662,HOPE,2008 Obama catchword
1663,SILL,Place for a pie to cool
1664,TEN,Half of a score
1665,LUX,"""___ et veritas"""
1666,BUDDINGPUDDING,"""Right now, it's fine, no five-star food, / But this dessert will soon be good!"""
1667,PAPYRI,Some ancient writings
1668,ARRESTHIM,Cry to a cop
1669,MAUL,Injure badly
1670,LOOFA,Spa accessory
1671,LBOS,Some Wall St. deals
1672,REN,"Kylo ___ (""Star Wars"" villain)"
1673,GASMAIN,Part of an underground network
1674,EDEN,Shangri-la
1675,SAP,Chump
1676,BYE,"Off-week, in football"
1677,KOSHERNOSHER,"""This mensch looks up and shouts 'Delish!' / While downing snacks with real relish"""
1678,ANSEL,"Actor Elgort of ""The Fault in Our Stars"""
1679,OTTO,Due + sei
1680,DUVALL,"Robert of ""Tender Mercies"""
1681,MOOC,Acronym for a class taught over the Internet
1682,PORCH,Veranda
1683,SAGE,Wise
1684,HENNAS,Skin dyes
1685,PIKE,Gefilte fish fish
1686,GRADS,Tassel movers
1687,GARDENWARDEN,"""Your will to serve must be mature / To be this keeper of nature"""
1688,HEY,"""Stop right there!"""
1689,COW,Intimidate
1690,PUTS,Places
1691,GOATEED,Like Uncle Sam
1692,ITS,"""___ all good"""
1693,OTRO,"""Al ___ Lado del RÃ­o"" (2004 Oscar-winning song)"
1694,TACOS,Food items often served with 76-Down
1695,ERRS,Goofs
1696,ACTCASUAL,"""Just be cool"""
1697,SCHNOZ,Hooter or honker
1698,MASSAGEPASSAGE,"""Go down this hallway: There's a couch / If what you seek's relaxing touch"""
1699,DAW,"""See-saw, Margery ___"" (old nursery rhyme)"
1700,FOR,Backing
1701,PLED,Begged
1702,POOL,Reporters' group
1703,MADAME,French title
1704,LALAW,Bygone NBC drama
1705,WIN,Carry the day
1706,SOB,"Go ""boohoo"""
1707,VOTE,Primary imperative?
1708,BASELINEVASELINE,"""This may have been the umpire's doing; / Now sliding home is easy going"""
1709,ALCS,Oct. pennant race
1710,IDIDIT,Cry of jubilation ... or guilt
1711,LIFT,Hoist
1712,AZUL,Color of el mar
1713,NEHI,Old pop
1714,ESSEX,New York county with Lake Placid
1715,LETS,"""Why don't we?!"""
1716,BEST,Award category word
1717,DODO,Blockhead
1718,EDAM,Cheese sometimes paired with pinot noir
1719,COUGHDROPS,Suckers' succors?
1720,ORG,URL suffix
1721,DATAENTRY,Job with spreadsheets
1722,UBER,Ride offerer
1723,MIR,Russian peace
1724,BELGIUM,Home to King Philippe
1725,JOGS,"Nudges, in a way"
1726,ACHE,Post-marathon feeling
1727,PAT,"Word before or after ""down"""
1728,ERECT,Upright
1729,STREEP,"""The Iron Lady"" star"
1730,IBIS,Animal avatar of Thoth
1731,MODELYODEL,"""Kate Upton strikes an alpine pose / And belts this out, with naught to lose"""
1732,PROSURFER,One working on the board?
1733,SNL,"""Celebrity Jeopardy!"" show, briefly"
1734,GUILD,Artisans' group
1735,HOPIS,Kachina doll makers
1736,AULD,"""___ Lang Syne"""
1737,ANAL,Overly fussy
1738,ODES,___ of Solomon
1739,SPIN,P.R. task
1740,XIAN,Chinese city known for its terra-cotta warriors
1741,BALSA,Light wood
1742,URBAN,___ studies (college major)
1743,GHEE,Butter in South Asian cuisines
1744,IMSHOCKED,[!!!!]
1745,NAME,Identify
1746,GUARD,"Three-pointer shooter, usually"
1747,POEHLER,Funny Amy
1748,LINUS,"""Peanuts"" boy"
1749,GOTOPRESS,Start printing
1750,ASTRIDE,"On, as a horse"
1751,NOVA,Astronomer's sighting
1752,BLOND,Like some light wood
1753,KOP,Keystone officer
1754,SAGGY,Drooping
1755,EMERSON,Boston college
1756,ONEG,"Force on Earth, informally"
1757,CANOE,Vessel often stowed upside down
1758,HEN,Blue symbol of Delaware
1759,HATCHWATCH,"""I have this duty on my farm / To look as chickens keep eggs warm"""
1760,SWARM,Throng
1761,ACTUALSIZE,Not blown up
1762,DORAG,Rapper topper
1763,SWOLE,"Bulked up, in modern lingo"
1764,GUACAMOLE,Party bowlful
1765,ATRA,Gillette ___ Plus
1766,HTTP,"""://"" preceder"
1767,ESCAPISTS,"Fantasy fiction readers, e.g."
1768,PTSD,"Condition once called ""shell shock,"" for short"
1769,ICED,Wasted
1770,OSSO,___ buco
1771,SOFA,Ottoman's partner
1772,AGEWELL,"Not go out of date, say"
1773,ASONE,In unison
1774,ZOMBIE,Dead man walking?
1775,SPLIT,Divvy up
1776,ALAN,Country star Jackson
1777,READS,Goes over
1778,DESI,Arnaz of 1950s TV
1779,LEDE,First sentence of a news story
1780,ALIX,"""The Adventures of ___"" (European comics series)"
1781,WAFT,Float in the air
1782,ONUS,Weight
1783,BELT,Wallop
1784,VAN,Jones of CNN
1785,SIS,Family girl
1786,VIE,Go (for)
1787,LAB,Test site
1788,GPA,4.0 is a great one
1789,MAGOO,Nearsighted cartoon Mr.
1790,SCOWS,Garbage-carrying boats
1791,OLD,Superannuated
1792,CLOTH,Denim or linen
1793,IONIA,Ancient land near Lydia
1794,BAD,Not good
1795,ELLEFANNING,"""Super 8"" actress, 2011"
1796,INLAW,Relative who might visit for the holidays
1797,RUN,Hightail it
1798,CODE,Secret language
1799,GEEYATHINK,"""Thanks, Captain Obvious!"""
1800,ENC,Ltr. addition
1801,ENYA,One-named New Age singer
1802,HARSH,"Rough, as criticism"
1803,ANTS,Industrious little marchers
1804,PROM,Spring school dance
1805,INOIL,How sardines are often packed
1806,SEE,"""Get the picture?"""
1807,BEEBALM,Flower that attracts pollinating insects
1808,UMA,Actress Thurman
1809,KITTY,Money in the middle of a poker table
1810,SILO,Farm tower
1811,APEX,High point
1812,LEASE,Auto deal for nonbuyers
1813,INST,"Caltech, e.g.: Abbr."
1814,YAK,"Talk, talk and then talk some more"
1815,TEAKETTLES,Whistlers in the kitchen
1816,NOTE,Brief letter
1817,TLC,"Dr. Mom's attention, for short"
1818,ANGLE,Each one in a square is 90Â°
1819,CUETHEMUSIC,Order to get a soundtrack ready
1820,BIC,Popular pen
1821,ANTES,Money in the middle of a poker table
1822,STARK,___ raving mad
1823,TOT,Toddler
1824,AGENT,Deal negotiator for athletes
1825,TEXAS,State where the Cotton Bowl is held
1826,QTS,There are four in a gallon: Abbr.
1827,GOBIG,Not hold back
1828,PLANE,"Air Force One, for one"
1829,ADDLE,Bewilder
1830,MCEWAN,"Ian who wrote ""Atonement"""
1831,ALL,Every last bit
1832,GOL,FÃºtbol score
1833,OTERI,"Onetime ""S.N.L."" regular Cheri"
1834,OHFUN,"""That sounds good ... NOT!"""
1835,SIN,Envy or lust
1836,CONCERN,Worry
1837,ONIONSOUP,Dish in a bowl often served au gratin
1838,WINDCHIME,Tinkler on a porch
1839,SAGE,Wise man
1840,ANKH,Egyptian cross
1841,AYES,Thumbs-up votes
1842,TYPE,Variety
1843,HARES,Relatives of rabbits
1844,AIM,"""We ___ to please!"""
1845,ASK,"Word before ""and ye shall receive"""
1846,NEILYOUNG,"Singer with the 1972 hit ""Heart of Gold"""
1847,TETEATETE,One-on-one talk
1848,OBI,Sash for a kimono
1849,MALIK,Pop singer Zayn formerly of One Direction
1850,LAX,Opposite of strict
1851,BYS,Fly-___ (Blue Angels maneuvers)
1852,LONE,Lacking company
1853,TAKETEN,Rest for a bit
1854,ATTN,Abbr. before a name on a memo
1855,ETTE,Suffix with cigar
1856,STACKS,"Groups of poker chips, typically"
1857,ELMST,"Locale of a film ""nightmare"": Abbr."
1858,ACUTE,Less than 90Â°
1859,LGBTQ,"Modern movement initialism ... or a hint to the starts of 18-, 24-, 40-, 52- and 61-Across"
1860,ELIOT,"""The Waste Land"" poet"
1861,SECTS,Religious offshoots
1862,NCAA,March Madness org.
1863,HST,President before D.D.E.
1864,SAX,Jazz instrument
1865,IRA,"Savings for the golden years, for short"
1866,TACT,Social adroitness
1867,OCALA,City between Gainesville and Orlando
1868,RAMP,Skateboarder's incline
1869,ECHO,Radar response
1870,MOREL,Mushroom variety
1871,ODIE,Garfield's foil in the comics
1872,SNEAKAPEEK,View furtively
1873,LEAD,Main role
1874,HEADON,"Direct, as a collision"
1875,TRAVOLTA,"John of ""Saturday Night Fever"""
1876,PSA,"Amber Alert, e.g., for short"
1877,SEALADEAL,Complete the negotiations
1878,ODD,"Like the number of games in a ""best of"" series"
1879,LOP,Cut (off)
1880,TINE,Pitchfork point
1881,GRABACAB,Secure some urban transportation
1882,EXULT,Rejoice
1883,LETO,"Oscar winner Jared of ""Dallas Buyers Club"""
1884,TRADE,"Buy and sell, as stocks"
1885,ESAU,Jacob's biblical twin
1886,EWERS,Decorative pitchers
1887,GOTASHOT,Was vaccinated
1888,DASH,Pinch in the kitchen
1889,ZAP,Hit with a Taser
1890,ISU,Terre Haute sch.
1891,BAKEACAKE,"Prepare for someone's birthday, perhaps"
1892,NHS,Org. for top-notch H.S. students
1893,WELLBORN,Blue-blooded
1894,KEATON,"Hollywood's Diane, Buster or Michael"
1895,ARIL,Seed cover
1896,WROTEANOTE,"Briefly put pen to paper, say"
1897,NONO,"""Don't touch that, honey!"""
1898,LITER,Engine capacity unit
1899,GROW,Increase
1900,ASKS,Poses a poser
1901,SSTAR,Relatively cool red giant
1902,SYST,"The second ""S"" of MS-DOS: Abbr."
1903,TESH,Radio host John
1904,ACNE,Teenage skin malady
1905,CHEAPDATE,"Takeout food together with a Netflix movie, maybe"
1906,TOADS,Garden amphibians
1907,OMAN,Tip of the Arabian Peninsula
1908,COP,"""Brooklyn Nine-Nine"" figure"
1909,ARETE,Rocky glacial ridge
1910,LEERAT,Look upon with lust
1911,ALKALI,High-pH substance
1912,ROLODEXES,Obsolescent desktop accessories
1913,ADELE,"""Hello"" singer, 2015"
1914,MIATA,Sporty Mazda
1915,PEDAL,Organ part
1916,KOALA,Qantas Airways symbol
1917,VANE,Barn topper
1918,SPAR,Practice boxing
1919,OGLE,Look upon with lust
1920,DREW,Was the clue giver in Pictionary
1921,OCT,Start of the fourth qtr.
1922,BORDELLOS,Brothels
1923,BAG,"Give up on, in slang"
1924,USHISTORY,Class that covers Reconstruction and Prohibition
1925,LAOS,Neighbor of Vietnam
1926,TUTU,"""Swan Lake"" article of attire"
1927,DOZE,Nod off
1928,ETA,Letter between zeta and theta
1929,SAAB,Swedish aircraft giant
1930,APNEA,Breathing problem
1931,SCOWLS,Frowny looks
1932,HARRIS,___ tweed
1933,BWANA,Swahili master
1934,AEROS,NestlÃ© bars filled with tiny bubbles
1935,KLINK,"""Hogan's Heroes"" colonel"
1936,KNOTT,Noted berry farm founder Walter
1937,HANGS,"Puts up, as a painting"
1938,KERR,"Deborah of ""The King and I"""
1939,OTOS,Plains tribe members
1940,NEWT,Politico Gingrich
1941,TEA,Drink with crumpets
1942,CBS,TV network whose logo is an eye
1943,JONI,"Singer Mitchell who wrote ""Woodstock"" (but didn't attend)"
1944,ENTIRE,Whole
1945,ALE,"The ""A"" of I.P.A."
1946,BARAK,Former Israeli P.M. Ehud
1947,LOONEY,___ Tunes (Warner Bros. cartoons)
1948,GOLDENAGE,Epoch of rare distinction
1949,SCYTHE,Tool for the Grim Reaper
1950,INFIDELS,Opposites of true believers
1951,KIA,Optima and Cadenza car company
1952,HED,"""If only ___ listened ..."""
1953,EDITH,"Archie's wife on ""All in the Family"""
1954,BANNERYEAR,Topic of a happy annual report
1955,REESES,___ Pieces
1956,TEA,Celestial Seasonings product
1957,BOWTO,Greet with humility
1958,AUG,Jul. follower
1959,AVG,Dow Jones stat.
1960,GASP,Shocked response
1961,REDLETTERDAY,Something circled on a calendar
1962,MAUI,Second-largest Hawaiian island
1963,KIR,Aperitif with black currant liqueur
1964,SAO,"___ Paulo, Brazil"
1965,UMBRA,Darkest part of a shadow
1966,SIB,"Bro, e.g."
1967,DOGMAS,Concepts not meant to be questioned
1968,FINESTHOUR,Period of supreme courage and achievement
1969,DRAKE,One-named rap star
1970,FRO,To and ___
1971,CIA,Fact-gathering org.
1972,MAILITIN,Do a perfunctory performance
1973,LISPED,"Substituted ""math"" for ""mass,"" say"
1974,PRIMETIME,"When TV viewership peaks ... or a hint to 17-, 24-, 36- and 53-Across"
1975,ETERNE,"Timeless, to Shakespeare"
1976,CASAS,Houses in Havana
1977,NBC,TV network whose logo is a peacock
1978,RESETS,"Puts back to 0, say"
1979,SPEX,X-ray ___ (gag gift)
1980,GOA,"""We all ___ little mad sometimes"": Norman Bates"
1981,CAGIER,More evasive with the truth
1982,BLONDE,"Marilyn Monroe, notably"
1983,SELFIE,Something you reach out and take?
1984,JANE,Author Austen
1985,ORALB,Toothbrush brand
1986,NAGSAT,Bothers the conscience of
1987,IKE,"Eisenhower, informally"
1988,ELSIE,Borden milk mascot
1989,NOCARB,"Like a diet lacking bread or pasta, for short"
1990,TOY,Etch A Sketch or yo-yo
1991,INTHEWAY,Blocking someone's path
1992,REHEATS,Puts back in the oven
1993,EYEDROP,Visine application
1994,BEDHEAD,Tousled look of the recently woken
1995,DITS,Counterparts of dahs in Morse code
1996,KNAVES,Scoundrels
1997,NEAT,In apple-pie order
1998,YOGA,Mind-body exercise
1999,SULK,Sit and mope
2000,GEISHA,Performer with a fan
2001,GRAD,One finally done with finals?
2002,RUBNOSES,Kiss like an Eskimo
2003,EIRE,Land of Blarney
2004,TRIO,Duo plus one
2005,DOODLES,Idle drawings
2006,MUFFLER,Part of a car's exhaust system
2007,AMIRITE,"""You agree with me?,"" informally"
2008,ASCENT,Goal for a mountaineer
2009,BUMRAP,Trumped-up charge
2010,GRIT,Fortitude
2011,MATING,Beating at chess
2012,AKIMBO,With hands on hips
2013,SENECA,"___ Falls, N.Y."
2014,TIDES,Neap and ebb
2015,RAISE,Uplift
2016,IMAX,Big movie format
2017,PRE,___-K (early schooling)
2018,PCS,Mac alternatives
2019,BLOCKED,Like some basketball shots and unwanted calls
2020,NAH,Slangy turndown
2021,OHM,Law man
2022,ROMANCE,Woo
2023,ATA,___ crossroads
2024,NOR,"""... fish ___ fowl"""
2025,ANNIEOAKLEY,"Markswoman dubbed ""Little Sure Shot"" [1977]"
2026,COB,Male swan
2027,SEINE,Site of two French banks
2028,RIDOF,Free from
2029,EPI,Prefix with center
2030,ELS,High lines
2031,NINEBALL,Variety of pool [1982]
2032,UNC,2017 N.C.A.A. basketball champs
2033,SIP,Opposite of a gulp
2034,VIRAL,Rapidly spreading over the internet
2035,GROW,Mushroom or balloon
2036,FRAT,"Group that takes pledges, informally"
2037,EGO,Massage target?
2038,HAMILTONBERMUDA,"Capital city with only about 1,000 residents [2016]"
2039,PEA,Stew morsel
2040,STAT,"""Right away!"""
2041,ENID,"Geraint's wife, in Arthurian legend"
2042,GRASP,Understand
2043,RAH,Rallying cry?
2044,DEO,"""Gloria in Excelsis ___"" (hymn)"
2045,RENTROLL,Landlord's register [1996]
2046,LEI,Ring on a string
2047,IVY,"Columbia, for one"
2048,OBOES,Winds down in a pit?
2049,IDAHO,Boise's home
2050,TEM,President pro ___
2051,BESTMUSICAL,"Award won by the starts of 17-, 25-, 39- and 52-Across and 11- and 29-Down"
2052,TRA,___-la-la
2053,EYE,Get a good look at
2054,ESTONIA,Country north of Latvia
2055,YEN,Hankering
2056,SSR,"70-Across, e.g., formerly: Abbr."
2057,WESTERN,"TV's ""Maverick"" or ""Gunsmoke"""
2058,BRAS,They may be strapless or padded
2059,LONE,Solo
2060,OMNI,Luxury hotel chain
2061,CAINE,"Oscar winner for ""Hannah and Her Sisters"""
2062,KNEELS,Prepares to be knighted
2063,ECO,Prefix with tourism
2064,DEAR,Sweetie
2065,NALDI,Nita of silent films
2066,ATEON,Used as the surface for a meal
2067,HAYFEVER,Antihistamine target
2068,ONCEAROUND,"400 meters, for an Olympic track [2012]"
2069,HOOPLA,Commotion
2070,MRBILL,"Clay character in old ""S.N.L."" sketches"
2071,KIN,They're related
2072,SIFT,Search (through)
2073,BIGME,1996 Foo Fighters hit
2074,UGH,"""That's awful!"""
2075,NRA,Hunters' org.
2076,COMPANYMAN,Superloyal employee [1971]
2077,PROS,Crackerjacks
2078,WIEST,"Oscar winner for ""Hannah and Her Sisters"""
2079,ANT,Caste member
2080,TBAR,Means of avoiding an uphill climb
2081,LAPROBES,Blankets for open-air travelers
2082,ETAL,Series ender: Abbr.
2083,DIE,Run out of power
2084,ADO,Commotion
2085,GRITTY,Courageously persistent
2086,REVERE,Noted colonial silversmith
2087,HEISTS,Bank jobs
2088,OBEYS,Follows orders
2089,LOSER,"Deadbeat, e.g."
2090,LET,Tennis call
2091,IDIOT,Buffoon
2092,SMEW,Eurasian duck
2093,ACNE,Teen woe
2094,HAIR,"Wig, e.g."
2095,OLAN,Pearl Buck heroine
2096,USE,Helpfulness
2097,PEAR,Fruit often seen in still lifes
2098,EBONY,Black wood
2099,MORAL,Fable's message
2100,ARIA,Opera highlight
2101,BENES,"Elaine's last name on ""Seinfeld"""
2102,AMAZE,Flabbergast
2103,CAMINOREAL,"Historic California route, with ""El"""
2104,YENTA,Schmoozing gossip
2105,SOLES,Bottoms of high-tops
2106,GOES,Departs
2107,PRIVATEENTRANCE,Desirable feature of a rented room
2108,ALAN,"Mathematician Turing who was the subject of ""The Imitation Game"""
2109,CLONES,Genetic copies
2110,RESENDS,"Forwards, as a misdelivered letter"
2111,LOOM,Weaving machine
2112,SPA,Mani-pedi place
2113,CAPTAINFANTASTIC,2016 film for which Viggo Mortensen earned an Oscar nomination
2114,STY,Pig's digs
2115,GAUL,Ancient France
2116,SEXTANT,Navigation instrument
2117,FARCES,Many Monty Python skits
2118,ANTS,Crumb carriers
2119,QWERTYKEYBOARDS,Common computer peripherals
2120,AHME,Sigher's words
2121,DEANS,College officials
2122,TOAST,"""Here's to the newlyweds!,"" e.g."
2123,INNERCHILD,"Part of a person's psyche ... or a hidden part of 18-, 23-, 39- or 48-Across?"
2124,ALICE,Wonderland girl
2125,SCENE,Division of a play
2126,IDEA,Notion
2127,RELAX,Chill out
2128,TOYED,Played (with)
2129,PONY,Polo mount
2130,PAC,"""Super"" group buying campaign ads"
2131,ERA,"One-third of pitching's Triple Crown, for short"
2132,AIM,"Command between ""Ready!"" and ""Fire!"""
2133,RAISINET,Chocolate-covered morsel often eaten at the movies
2134,EBOLA,Virus in 2014 news
2135,BERET,Special Forces cap
2136,ONESEC,"""Gimme a minute"""
2137,NEA,Schoolteacher's org.
2138,YSL,French designer's monogram
2139,MAY,"With 62-Down, a spring festival"
2140,OMEGAS,Symbols of resistance
2141,RANON,Talked incessantly
2142,AZTEC,Quetzalcoatl worshiper
2143,LEASE,Car deal that's not a purchase
2144,NOV,Election mo.
2145,PLEAT,Skirt fold
2146,RASPY,Hoarse
2147,ELLA,"""___ Enchanted"" (2004 film)"
2148,NOONS,"""High"" times"
2149,TNOTE,Govt.-issued security
2150,REMAX,Century 21 rival
2151,ARCS,Paths of pendulums
2152,NAGAT,Bother persistently
2153,DIARY,Book with handwritten thoughts
2154,SNUCK,Ducked (out) furtively
2155,STAND,"Easel, e.g."
2156,PINTS,Pub purchases
2157,ACTS,Divisions of a play
2158,FLEE,Escape
2159,STARSHIP,"The Enterprise, for example"
2160,FRESCA,Soft drink in a green bottle
2161,SYDNEY,2000 Summer Olympics city
2162,QATAR,Smallest OPEC nation
2163,WHOLE,Entire
2164,EMAIL,Letter that doesn't need an envelope or stamp
2165,BEENE,Designer Geoffrey
2166,OARED,Got into a row?
2167,ANC,Nelson Mandela's org.
2168,TEX,___-Mex
2169,IST,"""Was ___ das?"" (German question)"
2170,NCO,"Cpl., e.g."
2171,IDO,Altar affirmation
2172,LEN,Spy novelist Deighton
2173,DAY,See 10-Down
2174,HITON,Make a pass at
2175,ALE,Cousin of lager
2176,SILT,Deposited soil
2177,ADORE,Dig deeply
2178,ALEC,Baldwin known for his presidential impersonation
2179,OBIE,Village Voice award
2180,TONGUELASH,Dress down
2181,CELT,"TD Garden athlete, informally"
2182,PIG,"Gorge oneself, with ""out"""
2183,TAD,Smidgen
2184,SOCKEYE,Salmon type
2185,IDA,Wash. neighbor
2186,REMO,"San ___, Italy"
2187,LEN,"""Live Free or Die Hard"" director Wiseman"
2188,NONPC,Potentially offensive
2189,NAN,Bread that's often brushed with ghee
2190,ETHER,Early anesthetic
2191,AORTA,Main line from the heart
2192,DASANI,Aquafina competitor
2193,IMINAWE,"""Wow, unbelievable!"""
2194,BOREDOM,Cause of yawns
2195,PANTRY,Kitchen cabinet
2196,TROUT,Rainbow ___
2197,OTROS,"Others, in Oaxaca"
2198,POE,"""A Dream Within a Dream"" writer"
2199,PSYCH,"Big college major, informally"
2200,EME,Suffix with morph-
2201,AIWA,Onetime giant in consumer electronics
2202,EOE,Fair-hiring letters
2203,SATINON,"Audited, as a class"
2204,SHH,"""Be quiet!"""
2205,MRI,X-ray alternative
2206,PLUM,"Coveted, as a position"
2207,HASKITTENS,Throws a fit
2208,OGRE,Fairy tale meanie
2209,OMNI,Marriott competitor
2210,TENET,Core belief
2211,TANS,"Lies by the pool, say"
2212,KAL,"Penn of ""Harold &amp; Kumar"" films"
2213,PAIRS,Figure skating event ... or what the circled items always come in
2214,HATPIN,Quaint fashion accessory
2215,IDOIDO,Enthusiastic assent
2216,TONGAN,Friendly Islands native
2217,ORG,www.wikipedia.___
2218,NEUT,Neither fem. nor masc.
2219,ALA,Pie ___ mode
2220,LESSON,"Future perfect tense in grammar class, e.g."
2221,ECHO,Bounce back
2222,SOCKETSETS,Some mechanics' tool collections
2223,IBEENHAD,Informal cry from someone who is duped
2224,LILY,Bloom on a pad
2225,TETE,Part lopped off by la guillotine
2226,ALDENTE,How pasta may be prepared
2227,EAR,Talent for music
2228,CLEARUP,Fully explain
2229,MAA,Nanny goat's cry
2230,PANTOMIMES,Plays charades
2231,COARSEN,Make rough
2232,ENO,"Brian who composed ""Discreet Music"""
2233,RIM,What an air ball misses
2234,RWY,Train system: Abbr.
2235,DOO,Scooby-___
2236,IPO,"Big step for a young company, for short"
2237,MAT,"Silent ""Welcome"" giver"
2238,INRETURN,Reciprocally
2239,BREWSKI,Cold one
2240,TOI,"You, in Tours"
2241,PANAMA,Isthmus land
2242,YEMENI,Native of Mocha
2243,CORNER,"Drugstore location, often"
2244,HEISTS,Bank jobs
2245,AHI,Sashimi staple
2246,SPOT,Dalmatian feature
2247,ALGA,Pond organism
2248,OHOK,"""Well, all right then"""
2249,HTTP,Start of a web address
2250,SNL,TV show that comes on at 11:29 (not 11:30) p.m.
2251,TEA,"Pekoe, for one"
2252,DAWN,Sunrise
2253,STAN,Musial in the Baseball Hall of Fame
2254,ALOFT,High in the air
2255,AGRO,Soil-related prefix
2256,ARIA,Diva's solo
2257,RAZOR,Stubble remover
